sprawl_cluster,NDBI,NDVI,NDWI,water_occurrence,elevation,slope,B4,B8,B11,cluster_label,count
0,0.1033884567589386,-0.1436867879671613,0.316496668193733,48.742990654205606,43.72803738317757,5.463679691842783,0.03707125644747899,0.02778732083459324,0.03530730820461133,Existing Dense Urban,1070
1,-0.17822493484715973,0.5146246890809383,-0.48405982456101776,9.11499436302142,38.37655016910936,3.8339107509664645,0.0795290385873772,0.25458557004153126,0.17919082299353642,Stable Non-Urban / Low Growth,887
2,0.07475279807634952,0.1719096342181424,-0.2727019886438733,8.340619307832423,41.45765027322405,3.741322143427444,0.19565859294491386,0.2735622258473507,0.31910758935091493,New Expansion / Edge Growth,2196
3,0.045063378677429766,0.11178052475709567,-0.06281600625021368,15.694098538170005,39.03952355170547,4.05024090704559,0.05641876011542294,0.07222435105557724,0.08105654550618459,Existing Dense Urban,1847
